review_text,cluster
"It used to be free to load here, now there is a fee. I will leave these apps.",0.0
Matagal mag approv nkaka bwesit,2.0
Hindi ko mabuksan gcash ko kailangan ko yung pera ko don😏😏😏😏😏,1.0
maganda po ang apps nato,2.0
Verification is not working haysss,4.0
Hi Can you include other valid ID,3.0
"Please fix your I.D. scan feature. I have tried too many attempts, all of which were clear anyway, and the app still rejects it otherwise. It is much better if we would just have to upload a photo of our I.D. instead of scanning it through the app. Such a big hassle.",1.0
"Wow I was amazing, I like it very much.",6.0
i dont like that this gcash dont have any sent msg. text... sent msg now is inthe gcash up.. i cant see on text the sent msg. ihave to open gcash up to see it. its so irritating. i want before i can see receive and sent msg. trasaction.,1.0
Their Verification Sucks like its okay on the front and it always fails on the back side of the id and it always lagging,3.0
Not yet used,6.0
I like gcash to buy robux,6.0
"Great app, but there's a small problem which is that its not notifying you when you get a cash in your acc and you need to see it through the app",0.0
Very friendly apps..it is easy to used...i recommended this apps to you..try to download too.,0.0
Maganda mag kakaroon nang gcash,2.0
It's so hard to verify your accounts nakakainis po,3.0
Always can't find Gcash app on my phone even it is still installed. Had to go to play store to uninstall and reinstall it everytime i need to use it. Hassle,5.0
I just want to delete my account but there's always an error,4.0
Cant log in always something went wrong when i entered the code that was sent to me via SMS. Disappointed.,3.0
hinahanapan ng mpin wala naman ni send sakin,1.0
Convinient sna kaso laging updating at verifying.. and the lasting I check it I don't know if I can retrieve my account.,3.0
"Let me add that one star fail because this app is lagging behind a lot. The problem is I can't get verified bc it's too demanding but won't give better services. Maya is even better now. I regretted a lot putting half of my salary here by accident. And btw, I hope you consider the use of voter's certification because, dude, voter's ID are long gone and most users don't have that anymore.",5.0
I cannot open my gcash Please help me find my gcash account help me to open it do I need to upload another account,1.0
Another review. App to buggy specially in the 1+ store i have strong connection but still failde to load,0.0
im first time for gcash,6.0
The app isnt functioning. Missing and can't uninstall.,5.0
Maganda gamitin ang dahil nakasend to money,1.0
Napakahirap magbpa verify ng account bwisit.,3.0
My account was stolen 100pesos is so annoying there no secure acc one of the most unsecure don't download this app it's gonna stole you an amount of money,1.0
"Katalaka mg upload ID for verification Kay klaro na gid, ND pa mg accept Ang gcash. Damu Arte!!!!!",3.0
Na bwesit ako sa apps nato ang tagal mag verified di ako maka send ng money even to pay bills nakaka received lang ako actually inubos ko nalang sa Load para may silbi walang kwetang apps deserve to uninstall kaya sa mga plano mag install ng apps nato mag basa kayo sa comment section ng feedback kaloka na sayang ang 600 ko na pang bili sana ng needs ko diko naman magamit yun inubos ko nalang sa pag load.,2.0
HINDI PA DIN RESOLVED ISSUE NIYO?? NAWAWALA WALA PA DIN BIGLA TONG APP TAPOS NEED UNINSTALL AND REINSTALLED PARA GUMANA.,2.0
Marami nako expire Ince and all of this transaction any bank and verify my gcash wallet and send money and savings my account my gcash wallet all the above. Yesyesyesyesyesyesyesyeysyeysyeysyeyzyeyshzshsdsssdddddkffkffkkffkfjfjfkforoficfffffffffffffffffffffffffffffgcccccccfffffffffcffffffffffffffffffffffffffffffffccfffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffdfffffffffffffffffffffffffffffffffffffffffffffffrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr,1.0
laging walang laman,2.0
The app keep saying unable to process payment,5.0
Uh huh ui jk lol ng ki,3.0
I guess it works for everyone but when i try to verify my account even if the id is real ang readable its still say unclear I've tried this a hundred times it still say the same thing,3.0
Walang akong pera sa gcash pengeeeee,1.0
Poor quality of customer service,4.0
Ung load ko na reg100 po pakibalik..until now di ko pa nakukuha.nag file nw ko ng ticket walang response,2.0
Merry Christmas po mam salamat din po tyo at iloveyou more bhe2 q pagaling k ah well make sure yan mam pag ala schedule ngayon mam tawagan mo nalng po mamaya ky tatay jess mga anakis mo nkaligo I think positive mhei the dyosa like that the first time since I think I claim it amen,2.0
Nice app money transfer,0.0
"I can't reset my MPIN, I'm only getting a pop up saying something is wrong. I tried contacting Help Center but I'm just being referred to the FAQ which is completely useless.",3.0
I remember typing Jennifer Casugod however my name appearing Jennifer Casugop!? I did try to change it but since the app updated it doesn't allow to change the name again. But my account was fully verified despite the issue still I wanted to have my name corrected ASAP. Due to this some of my transactions is not accepting my Gcash because of the name. Please do something about this.,3.0
Virify my acount place,3.0
Gago amputa scam,3.0
"for your next update, i suggest you guys should just remove the ""submit a ticket"" gimmick because they are just ignoring it at all..",3.0
App always disappear on my phone every updte of this app,5.0
Hindi gumagana yong GCredit. Kahit ano pang pa cash in ko at pay ng bills hindi tumataas yong GScore.,5.0
Cash out Cash in & E-load,5.0
Animal kosang nag pa log out habang naglalaro ako hindi nasi save points ko,2.0
Gcash Didn't me the pin that i buy from broadband load,0.0
Its just easy to use the app,0.0
it is very difficult to verify that there is an easy step in the vid but it is not very difficult and then the ticket was never put in the vid to get it,3.0
Gcash I have problem I bought a 100 Razer Gold Coins but I didn't get any Code or refund,1.0
Hay nako na bwesit ako s bago upadate gcash express send mag double yong number plss. Paki ayos..😭,2.0
